Peng (kW),Min Fuel Rate (g/s),Best Te (Nm),Best We (rad/s),a,b
1.2779998914803277,0.1513,12.203999999999999,104.71975511965977,1.0,1.2779998914803272
2.2779998914803277,0.17244819159335284,17.596692640692638,104.71975511965977,1.0000000000000002,2.2779998914803254
3.2779998914803277,0.2092820105820105,27.033904761904758,104.71975511965977,1.0,3.277999891480327
4.277999891480327,0.24570346320346323,36.471116883116885,104.71975511965977,1.0,4.277999891480326
5.277999891480327,0.2820480198813532,45.908329004329005,104.71975511965977,1.0000000000000002,5.2779998914803254
6.277999891480327,0.31886617790811334,55.345541125541125,104.71975511965977,1.0,6.277999891480326
7.277999891480327,0.35561717171717167,64.78275324675324,104.71975511965977,1.0,7.277999891480326
8.277999891480327,0.3972421837421837,75.56813852813852,104.71975511965977,1.0000000000000002,8.277999891480327
9.277999891480327,0.43366406926406925,85.00535064935065,104.71975511965977,1.0,9.277999891480327
10.277999891480327,0.4705929292929292,94.44256277056276,104.71975511965977,1.0000000000000002,10.277999891480327
11.277999891480327,0.5071554593554592,103.87977489177489,104.71975511965977,1.0,11.277999891480327
12.277999891480327,0.5279,113.316987012987,104.71975511965977,1.0000000000000002,12.277999891480327
13.277999891480327,0.5279,122.75419913419913,104.71975511965977,1.0,13.277999891480327
14.277999891480327,0.5279,132.19141125541125,104.71975511965977,1.0,14.277999891480327
15.277999891480327,0.5279,141.62862337662338,104.71975511965977,1.0,15.277999891480327
16.277999891480327,0.5620818181818181,144.3249696969697,111.06640694509369,1.0000000000000002,16.277999891480327
17.277999891480327,0.5962636363636364,142.97679653679654,117.41305877052761,1.0,17.277999891480327
18.277999891480327,0.6304454545454545,144.3249696969697,123.75971059596154,1.0,18.277999891480327
19.277999891480327,0.6646272727272727,145.67314285714286,130.10636242139546,1.0,19.277999891480327
20.277999891480327,0.6998060606060605,145.67314285714286,136.45301424682938,1.0,20.277999891480327
21.277999891480327,0.7351272727272726,145.67314285714286,142.7996660722633,1.0,21.277999891480327
22.277999891480327,0.7881090909090908,144.3249696969697,152.3196438104142,0.9999999999999999,22.277999891480327
23.277999891480327,0.8237696969696968,144.3249696969697,158.66629563584812,1.0,23.277999891480327
24.277999891480327,0.8604484848484847,144.3249696969697,165.01294746128204,1.0,24.277999891480327
25.277999891480327,0.8971272727272728,145.67314285714286,171.359599286716,1.0,25.277999891480327
26.277999891480327,0.9338060606060606,145.67314285714286,177.7062511121499,1.0,26.277999891480327
27.277999891480327,0.9706666666666667,145.67314285714286,184.05290293758384,1.0,27.27799989148032
28.277999891480327,1.0278666666666667,144.3249696969697,193.57288067573472,1.0,28.27799989148032
29.277999891480327,1.066,144.3249696969697,199.91953250116865,1.0,29.27799989148032
30.277999891480327,1.1041333333333332,145.67314285714286,206.26618432660257,1.0,30.27799989148032
31.277999891480327,1.1430909090909092,145.67314285714286,212.6128361520365,1.0,31.27799989148032
32.27799989148033,1.182872727272727,145.67314285714286,218.95948797747042,1.0,32.27799989148032
33.27799989148033,1.2226545454545454,145.67314285714286,225.30613980290434,1.0,33.27799989148032
34.27799989148033,1.2823272727272728,144.3249696969697,234.82611754105523,1.0,34.27799989148032
35.27799989148033,1.3236575757575755,144.3249696969697,241.17276936648915,1.0,35.27799989148032
36.27799989148033,1.3652090909090906,145.67314285714286,247.51942119192307,1.0,36.27799989148032
37.27799989148033,1.406760606060606,145.67314285714286,253.866073017357,1.0,37.27799989148032
38.27799989148033,1.448312121212121,145.67314285714286,260.2127248427909,1.0,38.27799989148032
39.27799989148033,1.4915727272727273,145.67314285714286,266.55937666822484,1.0,39.27799989148033
40.27799989148033,1.5573181818181818,144.3249696969697,276.0793544063757,1.0,40.27799989148033
41.27799989148033,1.601148484848485,145.67314285714286,282.42600623180965,1.0,41.27799989148033
42.27799989148033,1.645339393939394,145.67314285714286,288.7726580572436,1.0,42.27799989148033
43.27799989148033,1.6920545454545455,145.67314285714286,295.1193098826775,1.0,43.27799989148033
