Time,Speed (mph),Speed (m/s),Distance (m),Grade (%),Grade (radians),F_aero (N),F_roll (N),F_grade (N),Acceleration (m/s^2),F_inertia (N),Fthrust (N),Fbrake (N),P_veh (W),P_veh (kW),a,b,Tg (Nm),Tm (Nm),Wg (rad/s),Wm (rad/s),Pbatt (kW),Teng (Nm),Weng (rad/s),Peng (kW)
26,16.9,7.554975999999999,26.911808,1.3294068212026169,0.013293285131534573,17.123298708172793,293.97402380237816,260.540714999508,1.162303999999999,2324.607999999998,2896.246037510057,0.0,21881.069303483575,21.881069303483574,-3.8686779918656074e-05,1.007567619662007,-40.46476190476191,106.04224176899443,370.43782950773965,103.57872096000001,180.7964732005712,145.67314285714286,177.7062511121499,26.277999891480327
27,17.3,7.733792,34.6456,1.697832620725347,0.016976695078438204,17.943461609779202,293.95763441568306,332.7272405481351,0.1788160000000012,357.6320000000024,1002.2603365735997,0.0,7751.272972910213,7.751272972910213,-4.015417220943924e-05,0.37459246030536125,-20.99114959114959,18.52733904066239,101.31236879877513,106.03028832000003,503.4647277196052,75.56813852813852,104.71975511965977,8.277999891480327
28,18.1,8.091424,42.737024000000005,2.0723950097580586,0.02072098400661732,19.641342704332796,293.93688645905087,406.1022244543721,0.35763199999999973,715.2639999999994,1434.9444536177552,0.0,11610.74399066959,11.61074399066959,-3.848813679996754e-05,0.5339390262679746,-34.09838864838865,16.008263446921475,88.5642185267751,110.93342304000002,-477.6755590660632,122.75419913419913,104.71975511965977,13.277999891480327
29,20.7,9.253727999999999,51.990752,2.4839993990065916,0.024834886912390598,25.689444569395192,293.9093392335238,486.7137480123317,1.162303999999999,2324.607999999998,3130.9205318152485,0.0,28972.686991033654,28.972686991033655,-3.799715866671824e-05,1.2965126002208305,-40.09026936026936,124.1329533332667,538.3635814313609,126.86861088,182.06586603930555,144.3249696969697,241.17276936648915,35.27799989148033
30,21.7,9.700768,61.69152,2.8926087384779144,0.02891802376812686,28.2314699369472,293.87707950789934,566.7142721486124,0.4470400000000012,894.0800000000024,1782.9028215934613,0.0,17295.526638823558,17.295526638823556,-3.781819833627483e-05,0.7682532908339834,-40.46476190476191,24.83558852927193,122.5893285890236,132.99752928000004,-330.49883839727636,145.67314285714286,130.10636242139546,19.277999891480327
31,22.4,10.013696,71.705216,3.2858280361758747,0.032846462687151495,30.082232274124795,293.84141741220907,643.6749116817962,0.31292799999999943,625.8559999999989,1593.454561368129,0.0,15956.369567353786,15.956369567353786,-3.7693552442265626e-05,0.7045212702981802,-39.71577681577682,12.964695914875875,65.7388039578993,137.28777216000003,-125.24431752040255,142.97679653679654,117.41305877052761,17.277999891480327
32,22.5,10.0584,81.763616,3.647655633624172,0.036460391410219076,30.351423168000004,293.80460570637837,714.4653501263999,0.04470400000000119,89.40800000000237,1128.0293790007806,0.0,11346.170705741453,11.346170705741454,-3.9084982691272696e-05,0.514044512485855,-31.476940836940834,0.4378078721508132,18.449392030775076,137.90066400000003,-422.5926273050828,113.316987012987,104.71975511965977,12.277999891480327
33,22.1,9.879584000000001,91.64320000000001,3.967174970283203,0.039650956903124784,29.281854003916806,293.7689171157082,776.9551300190922,-0.17881599999999942,-357.6319999999988,742.3739011387182,0.0,7334.345315707663,7.334345315707663,-4.064610134793548e-05,0.35066196587309223,-20.99114959114959,-0.4286372857330534,24.823467166775057,135.44909664000005,-492.2618989363998,75.56813852813852,104.71975511965977,8.277999891480327
34,21.5,9.61136,101.25456000000001,4.240915020204071,0.04238375280853791,27.713472314879997,293.7359713004478,830.4728617748672,-0.2682240000000018,-536.4480000000036,615.4743053901915,0.0,5915.545119855071,5.915545119855071,-4.107192568201169e-05,0.2931363223670247,-15.373761423761424,4.920583929889986,34.384579870775084,131.77174560000003,313.48911426994187,55.345541125541125,104.71975511965977,6.277999891480327
35,20.9,9.343136,110.59769600000001,4.469512755360916,0.04466540136859539,26.188257094348796,293.7067840342959,875.1508117182128,-0.268224,-536.4480000000001,658.5978528468574,0.0,6153.3693084561755,6.153369308456176,-4.0973224813507487e-05,0.3034021490543275,-17.995209235209234,1.2502278955936603,43.945692574775116,128.09439456,-483.78168958817275,64.78275324675324,104.71975511965977,7.277999891480327
36,20.4,9.119615999999999,119.717312,4.655055106830522,0.04651697042021534,24.950218796236793,293.6819745572989,911.403850298017,-0.2235200000000006,-447.0400000000012,782.9960436515513,0.0,7140.6232476213845,7.1406232476213845,-4.061438001709206e-05,0.34464215731223546,-20.99114959114959,2.534319863270092,51.91328649477516,125.02993536000001,-553.4782767974691,75.56813852813852,104.71975511965977,8.277999891480327
37,19.8,8.851392,128.568704,4.798154600649199,0.047944775287564176,23.504142101299205,293.6621556072152,939.3576153088803,-0.26822399999999824,-536.4479999999965,720.0759130173983,0.0,6373.674175874896,6.373674175874895,-4.0846118870158476e-05,0.31360404465800495,-17.995209235209234,5.734404421526612,61.47439919877506,121.35258432000003,-121.6199793641382,64.78275324675324,104.71975511965977,7.277999891480327
38,17.0,7.59968,136.168384,4.891077702130949,0.048871830409592185,17.32654083072,293.6489668735557,957.5066094193586,-1.2517120000000004,-2503.424000000001,0.0,-1234.9418828763667,0.0,0.0,-4.193193156063628e-05,0.06531221627340422,-3.3899999999999997,-8.813999999999998,106.0929251507751,104.19161280000003,-1086.2999077582786,12.203999999999999,104.71975511965977,1.2779998914803277
39,14.9,6.660896,142.82928,4.949317717453841,0.04945282405706215,13.310260656844799,293.64057273402864,968.8803261305474,-0.9387840000000001,-1877.5680000000002,0.0,-601.7368404785793,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,-8.813999999999998,139.55681961477512,91.32088416000002,-1086.2999077582786,12.203999999999999,104.71975511965977,1.2779998914803277
40,14.9,6.660896,149.49017600000002,4.985606947465226,0.04981482309592484,13.310260656844799,293.63529248812586,975.9667694998558,0.0,0.0,1282.9123226448264,0.0,8545.345558255634,8.545345558255635,-3.9553638098727413e-05,0.4133309620397921,-26.234045214045214,25.36641480269661,139.55681961477512,91.32088416000002,-386.6943074628116,94.44256277056276,104.71975511965977,10.277999891480327
41,15.2,6.795007999999999,156.28518400000002,4.999842213653806,0.04995682179317856,13.851640116019196,293.63321073760864,978.7464815843998,0.13411199999999912,268.2239999999982,1554.4553324380258,0.0,10562.536419559045,10.562536419559045,-3.9000176765060494e-05,0.5011190785872958,-31.476940836940834,31.541086751599764,134.77626326277516,93.15955968,-149.10602625413185,113.316987012987,104.71975511965977,12.277999891480327
42,15.5,6.92912,163.21430400000003,4.990594402269744,0.04986457385834981,14.403811192320001,293.63456379836884,976.9406736033719,0.1341120000000009,268.2240000000018,1553.2030485940625,0.0,10762.33030807409,10.76233030807409,-3.8944653265983204e-05,0.5087259462864613,-31.476940836940834,31.449745843943788,129.99570691077508,94.99823520000002,36.819198087065615,113.316987012987,104.71975511965977,12.277999891480327
43,16.0,7.15264,170.36694400000002,4.955926740503196,0.0495187525749847,15.34807769088,293.6396139432056,970.1709432081118,0.22351999999999972,447.03999999999945,1726.198634842197,0.0,12346.877403517692,12.346877403517691,-3.8852321667022655e-05,0.5785641836667215,-36.71983645983646,30.43642191063941,122.02811299077514,98.06269440000001,-297.3391579363315,132.19141125541125,104.71975511965977,14.277999891480327
44,17.1,7.6443840000000005,178.01132800000002,4.89086537213974,0.04886971217683232,17.530982021836802,293.64899729622493,957.4651416264418,0.4917440000000006,983.4880000000012,2252.1331209445048,0.0,17216.17039561824,17.21617039561824,-3.8650107451287584e-05,0.793949697641615,-40.46476190476191,59.06099329594177,218.7391392245857,104.80450464000003,-241.35705574671283,145.67314285714286,136.45301424682938,20.277999891480327
45,19.1,8.538464000000001,186.54979200000002,4.784444292332772,0.04780798622511266,21.871610243788805,293.66408026752913,936.6796217994219,0.8940800000000007,1788.1600000000012,3040.375312310741,0.0,25960.13515065402,25.96013515065402,-3.8285681365709165e-05,1.1749282904916492,-40.46476190476191,116.55495327889115,461.0441224033313,117.06234144000004,194.36044046340612,145.67314285714286,212.6128361520365,31.277999891480327
46,21.1,9.432544,195.98233600000003,4.626392663567352,0.046230961946474095,26.691865893580797,293.6858725838913,905.8041108769941,0.8940799999999989,1788.1599999999978,3014.341849354464,0.0,28432.912125077353,28.432912125077355,-3.7925448281244326e-05,1.2689322048467822,-40.09026936026936,115.62976715815478,509.1415597237987,129.32017824000002,242.1941262843102,144.3249696969697,234.82611754105523,34.27799989148033
47,22.7,10.147808,206.13014400000003,4.410475133552688,0.044076186718516555,30.893402161459193,293.7144678253738,863.6135711389815,0.7152639999999995,1430.5279999999989,2618.749441125813,0.0,26574.566528652053,26.574566528652053,-3.764029078721452e-05,1.1729536886329068,-40.46476190476191,85.8017898080722,403.67744617933135,139.12644768,159.37527543591386,145.67314285714286,212.6128361520365,31.277999891480327
48,22.9,10.237215999999998,216.36736000000002,4.1466821954647495,0.04144307908220635,31.44017742919679,293.7475594001092,812.0518496837711,0.08940799999999882,178.81599999999764,1316.0555865130746,0.0,13472.74530714103,13.472745307141029,-3.817449280827851e-05,0.598121744474981,-36.71983645983646,0.5208093410462453,12.075316894775218,140.35223136,-290.89693218858775,132.19141125541125,104.71975511965977,14.277999891480327
49,22.7,10.147808,226.51516800000002,3.8423318229736534,0.038404426188676975,30.893402161459193,293.7832163537012,752.5417341675867,-0.08940799999999882,-178.81599999999764,898.4023526827494,0.0,9116.814581772825,9.116814581772825,-4.00273994256789e-05,0.4230678391782865,-23.6125974025974,4.136229443454582,15.262354462775146,139.12644768,370.6842248356703,85.00535064935065,104.71975511965977,9.277999891480327
50,22.6,10.103104,236.61827200000002,3.500044408627152,0.0349861623714503,30.6218131304448,293.8200857139038,685.588898763533,-0.04470399999999941,-89.40799999999882,920.6227976078828,0.0,9301.147869003391,9.30114786900339,-3.994899173938622e-05,0.43071520649210737,-26.234045214045214,-1.0587876070002125,16.855873246775083,138.51355584000004,-500.52605062258107,94.44256277056276,104.71975511965977,10.277999891480327
51,21.3,9.521952,246.14022400000002,3.1447053651554824,0.0314366936207472,27.200270967091203,293.8547369050491,616.0577118144405,-0.5811519999999994,-1162.303999999999,0.0,-225.19128031341813,0.0,0.0,-4.193193156063628e-05,0.06531221627340422,-3.3899999999999997,-8.813999999999998,37.57161743877508,130.54596192000002,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
52,19.0,8.49376,254.63398400000003,2.8035905188950485,0.028028563132092343,21.64318768128,293.88452430847525,549.2879106674817,-1.0281920000000007,-2056.3840000000014,0.0,-1191.5683773427645,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,-8.813999999999998,74.22254947077508,116.44944960000002,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
53,17.1,7.6443840000000005,262.278368,2.479230950513592,0.024787231775475253,17.530982021836802,293.90968681594234,485.7799948065605,-0.8493759999999995,-1698.751999999999,0.0,-901.5313363556594,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,-8.813999999999998,104.49940636677508,104.80450464000003,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
54,15.8,7.063232,269.3416,2.166614924940061,0.021662760014732343,14.9667738857472,293.9310192474388,424.5568888028969,-0.5811520000000003,-1162.3040000000008,0.0,-428.84931806391785,0.0,0.0,-4.193193156063629e-05,0.06531221627340389,-3.3899999999999997,-8.813999999999998,125.21515055877511,96.83691072000002,-1086.2999077582783,12.203999999999999,104.71975511965977,1.2779998914803277
55,15.8,7.063232,276.40483200000006,1.8431943138661215,0.01842985622925639,14.9667738857472,293.9500714519571,361.20473350719163,0.0,0.0,670.121578844896,0.0,4733.224179587793,4.7332241795877925,-4.118332082849254e-05,0.2496288123419269,-12.752313612313612,15.722290869464977,125.21515055877511,96.83691072000002,433.90876992016206,45.908329004329005,104.71975511965977,5.277999891480327
56,17.7,7.912608,284.31744000000003,1.4700436877255063,0.014699378079129632,18.7828096084992,293.9682380296722,288.09743513820587,0.8493759999999995,1698.751999999999,2299.6004827763763,0.0,18195.837176820216,18.195837176820216,-3.8540340488752495e-05,0.8344832083377651,-40.46476190476191,62.5232370473547,232.02597309214786,108.48185568000001,-0.9717133396261488,145.67314285714286,142.7996660722633,21.277999891480327
57,19.8,8.851392,293.168832,1.0418316709282014,0.010417939794534994,23.504142101299205,293.98404572427285,204.18792638876795,0.938784000000001,1877.5680000000018,2399.2441142143416,0.0,21236.650158603912,21.23665015860391,-3.815912195100026e-05,0.9571294310027407,-40.46476190476191,69.79118974158997,301.37783820017745,121.35258432000003,-401.97422809200543,145.67314285714286,171.359599286716,25.277999891480327
58,21.6,9.656064,302.824896,0.5655058280082981,0.005654997998913756,27.971871591628805,293.9952990991795,110.8373700317525,0.804672,1609.344,2042.148540722561,0.0,19719.117006723656,19.719117006723657,-3.7836047014131115e-05,0.8767579057953789,-40.09026936026936,44.71851196983215,204.15066037349104,132.38463744000003,7.970920196843508,144.3249696969697,152.3196438104142,22.277999891480327
59,23.2,10.371328,313.19622400000003,0.048151323642901256,0.0004815131992152678,32.2693333450752,293.9999659173214,9.437658339924589,0.7152639999999995,1430.5279999999989,1766.23495760232,0.0,18318.202070359755,18.318202070359757,-3.755173213801756e-05,0.8041551829751666,-40.46476190476191,23.61984352627111,121.53449340058572,142.19090688000003,-228.97648626504906,145.67314285714286,136.45301424682938,20.277999891480327
60,24.2,10.818368,324.01459200000005,-0.4919690336177027,-0.004919650645752785,35.1111258550272,293.99644217169185,-96.42476369483336,0.44703999999999944,894.0799999999989,1126.7628043318846,0.0,12189.734665974322,12.189734665974322,-3.881716179937788e-05,0.5463111443411992,-31.476940836940834,0.34542459943776294,-8.6404272972249,148.31982528000003,380.2441589137174,113.316987012987,104.71975511965977,12.277999891480327
61,24.6,10.997184,335.01177600000005,-1.0350859105490293,-0.010350489464589895,36.2814167789568,293.98425164367063,-202.86597119977588,0.1788160000000012,357.6320000000024,485.03169722285395,0.0,5333.9828201920145,5.3339828201920145,-4.120279019189547e-05,0.27076888390287834,-15.373761423761424,-4.5938295031762095,-15.01450243322494,150.77139264000004,-317.16138650657103,55.345541125541125,104.71975511965977,6.277999891480327
62,24.9,11.131295999999999,346.1430720000001,-1.5720642169681132,-0.01571934730256826,37.17172519188479,293.96367735964253,-308.0865188436357,0.13411199999999823,268.22399999999647,291.27288370788807,0.0,3242.2446853260794,3.2422446853260793,-4.1567486818301224e-05,0.18970406785413807,-10.130865800865802,-5.094964159720959,-19.795058785224924,152.61006816000003,-424.9807163894735,36.471116883116885,104.71975511965977,4.277999891480327
63,25.0,11.176,357.31907200000006,-2.0916142856896003,-0.020913093490811444,37.4708928,293.93571079369974,-409.8667545136195,0.04470400000000119,89.40800000000237,10.947849080082591,0.0,122.35316131900304,0.12235316131900303,-4.173227936246699e-05,0.07549317938826428,-3.3899999999999997,-8.015469797222275,-21.38857756922492,153.22296000000003,-958.6282269502916,12.203999999999999,104.71975511965977,1.2779998914803277
64,24.6,10.997184,368.31625600000007,-2.5774093994286957,-0.025768388990792607,36.2814167789568,293.9023959499535,-505.00453189068287,-0.17881599999999942,-357.6319999999988,0.0,-532.4527191617715,0.0,0.0,-4.179194675808601e-05,0.06941137597605451,-3.3899999999999997,-8.813999999999998,-15.01450243322494,150.77139264000004,-1069.6828279918132,12.203999999999999,104.71975511965977,1.2779998914803277
