Optimal_Peng (kW),Optimal_Pbatt (kW),P_veh (kW)
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
3.2779998914803277,0.7318444269934088,4.0098443184737365
7.277999891480327,0.444438764169119,7.722438655649446
10.277999891480327,0.44457367475154186,10.722573566231869
15.277999891480327,0.2551292076249698,15.533129099105297
18.277999891480327,0.8883566081403167,19.166356499620644
21.277999891480327,0.6030694120032472,21.881069303483574
7.277999891480327,0.4732730814298858,7.751272972910213
11.277999891480327,0.33274409918926295,11.61074399066959
28.277999891480327,0.6946870995533274,28.972686991033655
17.277999891480327,0.017526747343229232,17.295526638823556
15.277999891480327,0.6783696758734585,15.956369567353786
11.277999891480327,0.06817081426112637,11.346170705741454
7.277999891480327,0.05634542422733535,7.334345315707663
5.277999891480327,0.6375452283747434,5.915545119855071
5.277999891480327,0.8753694169758486,6.153369308456176
6.277999891480327,0.8626233561410572,7.1406232476213845
6.277999891480327,0.09567428439456815,6.373674175874895
,,0.0
,,0.0
8.277999891480327,0.2673456667753076,8.545345558255635
10.277999891480327,0.28453652807871777,10.562536419559045
10.277999891480327,0.4843304165937621,10.76233030807409
12.277999891480327,0.06887751203736414,12.346877403517691
16.277999891480327,0.9381705041379114,17.21617039561824
25.277999891480327,0.6821352591736911,25.96013515065402
28.277999891480327,0.15491223359702744,28.432912125077355
26.277999891480327,0.2965666371717255,26.574566528652053
13.277999891480327,0.19474541566070158,13.472745307141029
8.277999891480327,0.838814690292498,9.116814581772825
9.277999891480327,0.02314797752306319,9.30114786900339
,,0.0
,,0.0
,,0.0
,,0.0
4.277999891480327,0.4552242881074653,4.7332241795877925
17.277999891480327,0.9178372853398891,18.195837176820216
20.277999891480327,0.9586502671235841,21.23665015860391
19.277999891480327,0.44111711524332975,19.719117006723657
18.277999891480327,0.04020217887942934,18.318202070359757
11.277999891480327,0.9117347744939952,12.189734665974322
5.277999891480327,0.05598292871168731,5.3339828201920145
2.2779998914803277,0.9642447938457517,3.2422446853260793
,,0.12235316131900303
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.0
,,0.3587519898111427
,,0.0
,,0.0
,,0.8639541122207736
3.2779998914803277,0.8947318140509952,4.172731705531323
7.277999891480327,0.5466900202858707,7.824689911766198
12.277999891480327,0.8244723936096481,13.102472285089975
10.277999891480327,0.12150011008202455,10.399500001562352
9.277999891480327,0.6668389660076812,9.944838857488008
