Peng (kW),Pbatt (kW),Fuel Rate (g/s)
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,3.5782558919257035,0.053711495439159325
1.2779998914803277,7.894869434739159,0.053711495439159325
1.2779998914803277,11.376822623814812,0.053711495439159325
1.2779998914803277,16.98515522039029,0.053711495439159325
16.277999891480327,5.940976047578725,2.541546604268528
16.277999891480327,8.592488323436381,2.541546604268528
11.277999891480327,-2.6579428732955592,1.58880533765959
16.277999891480327,-3.7405246433405743,2.541546604268528
16.277999891480327,16.143023157812532,2.541546604268528
16.277999891480327,2.1966230287943547,2.541546604268528
16.277999891480327,0.4751490268078617,2.541546604268528
12.277999891480327,-0.4225926273050828,1.8004322618645736
8.277999891480327,-0.4922618989363998,0.9134363205303346
7.277999891480327,-0.7382155957039307,0.7189393714350323
8.277999891480327,-1.4960915051001633,0.9134363205303346
8.277999891480327,-0.5534782767974691,0.9134363205303346
8.277999891480327,-1.3088323677942517,0.9134363205303346
1.2779998914803277,-1.0862999077582784,0.053711495439159325
1.2779998914803277,-1.0862999077582784,0.053711495439159325
13.277999891480327,-3.516370850611643,1.9470711507534626
16.277999891480327,-4.368873201564126,2.541546604268528
16.277999891480327,-4.196390894177727,2.541546604268528
16.277999891480327,-2.436500050982522,2.541546604268528
16.277999891480327,3.0626590771347235,2.541546604268528
16.277999891480327,12.932547594928929,2.541546604268528
16.277999891480327,15.424568135532011,2.541546604268528
16.277999891480327,12.90457612570393,2.541546604268528
14.277999891480327,-0.29089693218858775,2.0937100396423514
10.277999891480327,-0.657209344768563,1.3435427989455933
10.277999891480327,-0.500526050622581,1.3435427989455933
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,-1.0862999077582782,0.053711495439159325
1.2779998914803277,4.203549777196317,0.053711495439159325
16.277999891480327,4.09006957916856,2.541546604268528
16.277999891480327,7.229511333436153,2.541546604268528
16.277999891480327,5.068762256612745,2.541546604268528
16.277999891480327,3.08692396450396,2.541546604268528
12.277999891480327,0.3802441589137174,1.8004322618645736
5.277999891480327,0.6193809987128325,0.41351372731278424
1.2779998914803277,2.310876228053826,0.053711495439159325
1.2779998914803277,-0.9586282269502916,0.053711495439159325
1.2779998914803277,-1.0696828279918131,0.053711495439159325
1.2779998914803277,-1.0714464314719052,0.053711495439159325
1.2779998914803277,-1.067919224511721,0.053711495439159325
1.2779998914803277,-1.0661556210316288,0.053711495439159325
1.2779998914803277,-1.067919224511721,0.053711495439159325
1.2779998914803277,-1.0696828279918131,0.053711495439159325
1.2779998914803277,-1.0696828279918131,0.053711495439159325
1.2779998914803277,-1.0608648105913518,0.053711495439159325
1.2779998914803277,-1.0520467931908908,0.053711495439159325
1.2779998914803277,-1.0502831897107985,0.053711495439159325
1.2779998914803277,-1.0555740001510754,0.053711495439159325
1.2779998914803277,-1.0643920175515365,0.053711495439159325
1.2779998914803277,-1.0626284140714441,0.053711495439159325
1.2779998914803277,-1.0555740001510754,0.053711495439159325
1.2779998914803277,-0.7400531879310505,0.053711495439159325
1.2779998914803277,-1.0449923792705218,0.053711495439159325
1.2779998914803277,-1.0502831897107985,0.053711495439159325
1.2779998914803277,-0.308867780402772,0.053711495439159325
1.2779998914803277,3.405566840059996,0.053711495439159325
7.277999891480327,1.2442577200782228,0.7189393714350323
11.277999891480327,2.6324880305784117,1.58880533765959
8.277999891480327,2.9247329882907747,0.9134363205303346
8.277999891480327,2.397411286972328,0.9134363205303346
8.277999891480327,1.989195802131372,0.9134363205303346
9.277999891480327,2.885131196239577,1.1176486632141531
10.277999891480327,3.9114417201961778,1.3435427989455933
9.277999891480327,2.8273970553320544,1.1176486632141531
8.277999891480327,2.7195824560683386,0.9134363205303346
10.277999891480327,3.40186405883479,1.3435427989455933
11.277999891480327,3.5971393340967914,1.58880533765959
19.277999891480327,-1.0797508090567216,3.559079025419786
20.277999891480327,2.7388723100216836,3.941852005840825
10.277999891480327,3.362195571045889,1.3435427989455933
9.277999891480327,3.2320585654628267,1.1176486632141531
10.277999891480327,3.3664009980799476,1.3435427989455933
19.277999891480327,2.5302214462707604,3.559079025419786
19.277999891480327,5.388261288841623,3.559079025419786
20.277999891480327,2.5410584386379336,3.941852005840825
20.277999891480327,-0.8720653014860043,3.941852005840825
20.277999891480327,-2.7758311532598827,3.941852005840825
