We (rad/s),Te (Nm),Fuel Consumption (g/s)
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
105.662232915737,69.0663564938175,0.375291546348949
138.54423602331,82.8284996135734,0.554871858140598
175.929188601028,86.1972036920005,0.718581219746852
204.203522483337,88.8706225371361,0.849762042392869
105.662232915737,67.996132938965,0.371124198955073
130.480814879096,81.9506996163631,0.519991994858987
266.302337269295,93.1996262111547,1.14657537971355
183.887889990123,86.8219666033942,0.75399942001134
173.834793498635,86.04900043027,0.709429937427267
132.26105071613,82.1844977194644,0.527856587683462
105.662232915737,67.6336393821222,0.369712683975277
105.452793405497,55.6151339826595,0.322002995194095
105.452793405497,58.8936171718436,0.334950211667997
105.662232915737,68.919795603013,0.374720852363034
105.557513160617,62.6932484699156,0.350150575527007
0,0,0
0,0,0
110.89822067172,78.2310792719781,0.430202870736379
128.700579042062,81.6431312784492,0.51175211820998
131.004413654694,82.07070210907,0.522561571025665
145.979338636806,83.6101838141532,0.587328261856742
188.076680194909,87.2286243379248,0.773379963272407
255.41148273685,92.46450591525,1.09246222199979
279.182867149013,94.0367039446409,1.21201114378175
271.643044780397,93.5314725002106,1.17345414549964
166.923289660738,85.5119075955697,0.679095972384036
126.29202467431,81.1474360101218,0.500297922540999
128.386419776703,81.5444777017578,0.5100921646726
0,0,0
0,0,0
0,0,0
0,0,0
105.348073650378,51.8430906835812,0.306824378976923
193.626827216251,87.8309596484419,0.799714702637304
220.853963547362,90.1369797871267,0.927490939719206
214.047179464585,89.6760588780563,0.895914371202958
206.19319783061,89.0461251413993,0.859113460335828
155.508836352695,84.5834043049068,0.629385590657988
105.557513160617,64.4724951596725,0.357071967615518
105.243353895258,45.3555011617735,0.281203798498651
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
